id,age,job,marital,education,preferred_contact,balance,loan_house,loan_personal,n_marketing_contacts,marketing_potential,period,proba_invest,rank,contact_target,subgroup_utilization_ratio,expected_gross_proxy,expected_net_profit,profitable_contact,rank_expected_net_profit,target_top1200_net_profit,target_positive_net_profit
20203,40,unemployed,single,tertiary,cellular,8129.24,no,no,1,high,2,0.6308235270087991,61,1,0.24212213297498703,1241.6303474303243,50.87336563436459,1,46,1,1
17798,57,admin.,married,secondary,cellular,17194.19,no,no,0,low,2,0.25228864388527994,308,0,0.2853956595556212,1238.0175113169869,50.710788009264405,1,47,1,1
23014,45,management,married,tertiary,cellular,21373.93,yes,no,0,unknown,2,0.17705473518180415,877,0,0.32298264008632677,1222.2811355649817,50.002651100424174,1,48,1,1
19904,61,retired,married,tertiary,cellular,5341.73,no,no,2,high,2,0.6837959564836764,21,1,0.3323750257148735,1214.0507593193508,49.632284169370784,1,49,1,1
22652,30,management,single,tertiary,cellular,14065.72,no,no,0,unknown,2,0.2702209533939097,285,0,0.31661972229826035,1203.424789771911,49.154115539736,1,50,1,1
20090,32,technician,single,secondary,cellular,6524.02,yes,no,1,high,2,0.466973454147854,195,0,0.3843372403493687,1170.9003728775715,47.690516779490714,1,51,1,1
21875,30,student,single,tertiary,cellular,7625.46,no,no,0,high,2,0.619357681501732,72,1,0.24212213297498703,1143.5155289556135,46.4581988030026,1,52,1,1
15518,33,management,single,tertiary,cellular,7605.35,yes,no,30,low,2,0.44394271220373127,211,0,0.3383248848997814,1142.2997425025187,46.40348841261334,1,53,1,1
22459,39,technician,single,secondary,cellular,18785.8,no,no,1,unknown,2,0.2459864682612652,322,0,0.2461817869875482,1137.6189857143997,46.192854357147986,1,54,1,1
17112,54,management,divorced,tertiary,,30511.81,yes,no,1,unknown,2,0.1163655250117832,2456,0,0.31083035173548323,1103.610247570339,44.66246114066525,1,55,1,1
18251,34,management,single,tertiary,cellular,13219.43,no,no,0,unknown,2,0.2630589357148288,294,0,0.31661972229826035,1101.041660542779,44.54687472442505,1,56,1,1
16759,35,entrepreneur,married,primary,cellular,30052.98,yes,no,0,unknown,2,0.10184532641415521,3012,0,0.3519165155311745,1077.1304308000142,43.470869386000636,1,57,1,1
16273,53,blue-collar,married,secondary,cellular,6176.14,no,no,1,high,2,0.5935639692460999,101,1,0.28595845931830677,1048.3048880790182,42.17371996355582,1,58,1,1
21314,55,blue-collar,married,secondary,cellular,17285.81,no,no,0,unknown,2,0.21763598171844206,409,0,0.27715574642500507,1042.6638617411325,41.91987377835096,1,59,1,1
22207,60,management,married,tertiary,cellular,13849.26,no,no,0,unknown,2,0.2248845676705385,375,0,0.33472575145881395,1042.4982810390395,41.912422646756774,1,60,1,1
21971,28,technician,single,tertiary,cellular,5104.6,no,no,20,high,2,0.8397445682134583,1,1,0.24212213297498703,1037.8710800826564,41.70419860371953,1,61,1,1
19395,30,management,single,tertiary,cellular,9819.83,no,no,6,low,2,0.33142127067892274,254,0,0.31661972229826035,1030.4390560706568,41.36975752317955,1,62,1,1
20273,60,retired,married,secondary,cellular,19234.52,yes,no,0,unknown,2,0.14765748752730395,1522,0,0.3519165155311745,999.4854497572891,39.97684523907801,1,63,1,1
20466,72,retired,married,secondary,cellular,5892.92,no,no,0,high,2,0.5853921969479197,109,1,0.28595845931830677,986.4621425602846,39.390796415212805,1,64,1,1
18770,57,retired,married,secondary,cellular,5365.78,no,no,4,high,2,0.6325523541385384,59,1,0.28595845931830677,970.5821216905745,38.67619547607585,1,65,1,1
22802,31,management,single,tertiary,cellular,9744.65,no,no,4,low,2,0.30961145312787,265,0,0.31661972229826035,955.2591943757866,37.986663746910395,1,66,1,1
22010,33,management,single,tertiary,cellular,9465.99,no,no,4,low,2,0.30679544413497517,267,0,0.31661972229826035,919.5024931037668,36.377612189669506,1,67,1,1
15795,62,management,married,tertiary,cellular,10618.26,no,no,3,low,2,0.2578964411365194,300,0,0.33472575145881395,916.6168354463962,36.247757595087826,1,68,1,1
19420,32,admin.,single,secondary,cellular,8776.36,no,no,3,low,2,0.26652548331652126,289,0,0.3895714064675847,911.2556671537964,36.00650502192084,1,69,1,1
22285,51,management,married,tertiary,,22118.59,no,no,0,unknown,2,0.12352223521252914,2202,0,0.328672854140144,897.9794880553442,35.40907696249049,1,70,1,1
20586,43,services,married,tertiary,cellular,4298.31,no,no,3,high,2,0.6269865206427357,64,1,0.3323750257148735,895.7448549855286,35.30851847434879,1,71,1,1
15516,45,admin.,married,,telephone,13822.52,yes,no,0,unknown,2,0.1835852705356512,766,0,0.3525249464537712,894.5712078711074,35.25570435419983,1,72,1,1
21056,56,management,married,tertiary,,22160.7,no,no,0,unknown,2,0.12277618734795716,2228,0,0.328672854140144,894.2551573806757,35.2414820821304,1,73,1,1
22761,47,housemaid,single,secondary,cellular,17339.02,no,no,4,unknown,2,0.20786725338183004,470,0,0.2461817869875482,887.2919573680638,34.92813808156287,1,74,1,1
21689,62,management,married,tertiary,cellular,3493.34,no,no,0,high,2,0.5969550681825031,96,1,0.41982888977317945,875.4973198881252,34.39737939496563,1,75,1,1
17084,57,management,married,tertiary,cellular,17423.67,yes,no,0,unknown,2,0.1549625961144566,1356,0,0.32298264008632677,872.058663200013,34.242639844000585,1,76,1,1
21892,32,management,married,tertiary,cellular,11360.44,no,no,1,unknown,2,0.22610371090227663,372,0,0.33472575145881395,859.7891647706787,33.69051241468054,1,77,1,1
20298,33,technician,single,tertiary,cellular,8081.72,yes,no,13,low,2,0.265474105031067,291,0,0.3895714064675847,835.8205377868443,32.61192420040799,1,78,1,1
21865,29,management,married,tertiary,cellular,13427.07,yes,no,3,low,2,0.18356503550674197,767,0,0.3383248848997814,833.8830734766536,32.524738306449414,1,79,1,1
19580,32,management,married,secondary,cellular,14862.41,yes,no,0,unknown,2,0.11142903861145233,2640,0,0.5005674751243782,828.991826730772,32.30463220288474,1,80,1,1
21463,31,self-employed,single,tertiary,cellular,3410.82,no,no,1,high,2,0.5948626555235902,98,1,0.4076719939639207,827.1540184026622,32.2219308281198,1,81,1,1
15493,30,management,married,tertiary,cellular,10819.48,no,no,1,unknown,2,0.22335789988650767,382,0,0.33472575145881395,808.9037172691731,31.400667277112788,1,82,1,1
23016,42,technician,single,,cellular,11293.1,no,no,1,unknown,2,0.2895975789458179,274,0,0.2461817869875482,805.1263130797881,31.230684088590465,1,83,1,1
23070,37,entrepreneur,single,secondary,telephone,20854.01,yes,no,0,unknown,2,0.11571788338669331,2476,0,0.3327225791647545,802.9201048716485,31.13140471922418,1,84,1,1
18991,43,technician,married,secondary,cellular,17954.13,yes,no,1,unknown,2,0.1264990308726754,2132,0,0.3519165155311745,799.2657676373562,30.96695954368103,1,85,1,1
21482,45,blue-collar,married,secondary,cellular,13418.03,no,no,2,unknown,2,0.21356584668726028,425,0,0.27715574642500507,794.2266358629844,30.740198613834295,1,86,1,1
20743,56,entrepreneur,married,tertiary,telephone,16513.04,no,no,1,low,2,0.21738030546368484,411,0,0.22067425950092937,792.1344578844092,30.64605060479841,1,87,1,1
18597,32,services,single,,cellular,6311.77,yes,no,13,low,2,0.2688891255254834,286,0,0.4637623323356613,787.0818089852681,30.418681404337065,1,88,1,1
22964,33,self-employed,single,tertiary,cellular,9825.68,no,no,0,unknown,2,0.1915394969758867,634,0,0.4076719939639207,767.2410590317203,29.52584765642741,1,89,1,1
16041,31,management,single,tertiary,cellular,9708.82,no,no,1,unknown,2,0.24950611269964149,315,0,0.31661972229826035,766.9827615773172,29.51422427097927,1,90,1,1
20955,52,management,married,tertiary,cellular,2670.79,no,no,8,high,2,0.6821914488787488,23,1,0.41982888977317945,764.9240807561338,29.42158363402602,1,91,1,1
22456,31,management,single,tertiary,cellular,9677.47,no,no,1,unknown,2,0.24929869507308783,317,0,0.31661972229826035,763.870613085006,29.37417758882527,1,92,1,1
22709,50,management,married,tertiary,cellular,19954.48,yes,yes,1,unknown,2,0.1080442082699204,2792,0,0.3462625027682805,746.5301806326256,28.59385812846815,1,93,1,1
15725,60,services,married,tertiary,cellular,4390.66,yes,no,5,high,2,0.4999299290735363,170,0,0.33793096277812434,741.766013481999,28.379470606689956,1,94,1,1
16615,32,management,single,tertiary,cellular,3279.42,no,no,2,high,2,0.6720214177372829,30,1,0.33175041437669023,731.1249917156761,27.900624627205424,1,95,1,1
20647,53,technician,married,secondary,telephone,5341.15,yes,no,2,high,2,0.4007484589838002,231,0,0.3390830782004048,725.7929625148333,27.660683313167496,1,96,1,1
18276,31,technician,single,tertiary,cellular,13943.42,yes,no,0,unknown,2,0.17017239195550804,980,0,0.3052290039840637,724.2428429481673,27.590927932667526,1,97,1,1
17687,46,management,married,tertiary,cellular,2733.31,no,no,3,high,2,0.631011211180918,60,1,0.41982888977317945,724.0995642898265,27.584480393042192,1,98,1,1
21565,59,retired,married,secondary,cellular,12615.96,no,no,1,unknown,2,0.20631646388490044,482,0,0.27715574642500507,721.403220127141,27.463144905721343,1,99,1,1
21963,38,management,single,tertiary,cellular,3212.84,no,no,2,high,2,0.6692759539488481,33,1,0.33175041437669023,713.3551384393368,27.100981229770156,1,100,1,1
19762,35,housemaid,married,tertiary,cellular,11372.23,no,no,2,low,2,0.21007069246203175,454,0,0.29719947784204725,710.0012996137731,26.950058482619788,1,101,1,1
20318,43,admin.,married,secondary,,26323.09,yes,no,0,unknown,2,0.07487122449270484,4378,0,0.35856884777974496,706.6825381869065,26.800714218410793,1,102,1,1
18724,32,admin.,single,tertiary,cellular,9048.66,no,no,0,unknown,2,0.27502981811722343,283,0,0.2829305419136747,704.1154649054988,26.685195920747447,1,103,1,1
17673,76,retired,married,tertiary,cellular,3099.28,no,no,4,high,2,0.681931384113606,24,1,0.3323750257148735,702.4733871125131,26.61130242006309,1,104,1,1
22815,49,admin.,married,secondary,cellular,14747.11,yes,no,1,unknown,2,0.1351690724871189,1923,0,0.3519165155311745,701.4939055276005,26.567225748742022,1,105,1,1
20340,36,management,married,tertiary,cellular,14725.85,yes,no,0,unknown,2,0.14725720539572484,1537,0,0.32298264008632677,700.3838235826377,26.517272061218694,1,106,1,1
18034,35,technician,single,secondary,cellular,4623.02,yes,no,41,unknown,2,0.42864366365070966,220,0,0.3519165155311745,697.367701755352,26.381546578990836,1,107,1,1
21008,47,admin.,single,secondary,cellular,3797.36,no,no,5,high,2,0.6742877582156352,28,1,0.27160279731587034,695.4425915583085,26.294916620123885,1,108,1,1
16195,38,self-employed,married,secondary,,29706.68,no,no,0,unknown,2,0.09173685803568064,3546,0,0.2531233417528071,689.8110945601154,26.041499255205192,1,109,1,1
17728,36,management,single,tertiary,cellular,2692.21,no,no,12,high,2,0.7629733806912552,5,1,0.33175041437669023,681.4434056800828,25.664953255603727,1,110,1,1
22993,56,management,married,tertiary,cellular,14691.53,yes,no,0,unknown,2,0.14294048387875652,1658,0,0.32298264008632677,678.2681974307034,25.52206888438165,1,111,1,1
18297,43,management,married,tertiary,cellular,14128.45,yes,no,0,unknown,2,0.1431773272418762,1648,0,0.32298264008632677,653.3530911168057,24.400889100256254,1,112,1,1
15475,30,management,married,secondary,cellular,11746.7,yes,no,2,unknown,2,0.11035212121259858,2695,0,0.5005674751243782,648.8722339547382,24.19925052796322,1,113,1,1
17854,55,management,married,tertiary,telephone,13247.48,no,no,1,unknown,2,0.22142502197461292,393,0,0.22067425950092937,647.3090022967742,24.12890510335484,1,114,1,1
22060,45,blue-collar,married,secondary,,23385.3,no,no,1,unknown,2,0.11622727894789259,2462,0,0.23639526962078947,642.5246562832805,23.91360953274762,1,115,1,1
18813,27,student,single,tertiary,cellular,3695.07,yes,no,4,high,2,0.4886225180833018,182,0,0.35567247907998695,642.1646720207357,23.897410240933105,1,116,1,1
16331,57,retired,married,secondary,cellular,3713.94,yes,no,7,high,2,0.5096026767383377,166,1,0.3390830782004048,641.7600830254942,23.879203736147236,1,117,1,1
21614,26,management,single,tertiary,cellular,2923.63,no,no,1,high,2,0.6608144844549851,36,1,0.33175041437669023,640.9341872975859,23.842038428391366,1,118,1,1
16174,48,management,married,tertiary,cellular,2426.19,no,no,3,high,2,0.6276957130210308,63,1,0.41982888977317945,639.3612207142663,23.771254932141982,1,119,1,1
17299,38,services,married,secondary,cellular,4073.88,no,no,3,high,2,0.5469319906409834,136,1,0.28595845931830677,637.154136978107,23.671936164014813,1,120,1,1
22946,66,admin.,single,secondary,cellular,10395.36,no,no,0,unknown,2,0.21244510542359263,437,0,0.2853956595556212,630.2801467830336,23.36260660523651,1,121,1,1
18536,47,admin.,married,secondary,cellular,3729.06,no,no,4,high,2,0.6204412203239136,71,1,0.2709996938820134,627.0018392898387,23.21508276804274,1,122,1,1
22054,32,management,single,tertiary,cellular,11968.03,yes,no,0,unknown,2,0.1596091518432573,1214,0,0.32370218703764736,618.3382216408494,22.82521997383822,1,123,1,1
18048,68,retired,married,tertiary,cellular,2767.93,no,no,3,high,2,0.6718289069018044,32,1,0.3323750257148735,618.0764168337972,22.813438757520874,1,124,1,1
15745,33,technician,married,tertiary,cellular,8194.14,no,no,3,low,2,0.25186993422995635,309,0,0.29719947784204725,613.377372193669,22.601981748715104,1,125,1,1
18921,39,management,married,secondary,cellular,12114.31,yes,no,0,unknown,2,0.10109578493532571,3054,0,0.5005674751243782,613.0478292071094,22.587152314319923,1,126,1,1
21418,38,management,single,tertiary,telephone,8791.12,yes,no,6,low,2,0.19834025412624295,548,0,0.3508356973445566,611.728690645971,22.527791079068695,1,127,1,1
18264,32,technician,married,tertiary,cellular,8145.37,no,no,3,low,2,0.2518616011107664,310,0,0.29719947784204725,609.7064911381937,22.436792101218714,1,128,1,1
19173,55,management,divorced,tertiary,cellular,7122.37,no,no,1,low,2,0.25317291260741764,306,0,0.3370812830893803,607.8219890483429,22.35198950717543,1,129,1,1
15559,44,admin.,married,tertiary,cellular,6617.57,no,no,1,unknown,2,0.22911819927256272,359,0,0.3998032635873141,606.1839959094208,22.278279815923934,1,130,1,1
21187,31,management,single,tertiary,cellular,6659.53,no,no,4,low,2,0.28680076465463533,277,0,0.31661972229826035,604.7304653569204,22.212870941061414,1,131,1,1
21976,47,blue-collar,married,secondary,cellular,11592.3,no,no,0,unknown,2,0.18735562641368328,691,0,0.27715574642500507,601.9497509317227,22.087738791927524,1,132,1,1
22731,43,management,married,tertiary,cellular,13200.95,yes,no,0,unknown,2,0.13920275275683433,1780,0,0.32298264008632677,593.5156702924256,21.708205163159153,1,133,1,1
15702,53,management,married,tertiary,cellular,8752.84,no,no,0,unknown,2,0.1968989130741892,562,0,0.33472575145881395,576.8746218696476,20.959357984134144,1,134,1,1
16778,33,admin.,single,tertiary,cellular,7683.11,no,no,0,unknown,2,0.26518467532711876,292,0,0.2829305419136747,576.4548608373489,20.940468737680696,1,135,1,1
21871,33,management,single,tertiary,,21510.89,yes,no,0,unknown,2,0.08667004826110572,3761,0,0.30557244030224046,569.6939407096037,20.636227331932165,1,136,1,1
17179,38,technician,married,tertiary,cellular,11902.84,yes,no,0,unknown,2,0.13538390289533053,1913,0,0.3519165155311745,567.096901735713,20.519360578107083,1,137,1,1
21143,55,management,divorced,tertiary,cellular,2360.67,no,no,2,high,2,0.6554670420752622,40,1,0.3640278435652944,563.275346627363,20.347390598231332,1,138,1,1
18599,40,management,married,tertiary,cellular,2793.63,yes,no,3,high,2,0.4896578998977876,179,0,0.4114411218111167,562.8197732151277,20.326889794680746,1,139,1,1
16088,27,admin.,married,secondary,cellular,3426.42,no,no,2,high,2,0.6031190082831541,87,1,0.2709996938820134,560.0314451652164,20.201415032434735,1,140,1,1
18552,24,blue-collar,single,secondary,cellular,10069.03,no,no,1,unknown,2,0.22292749665225703,387,0,0.2461817869875482,552.5953089409393,19.866788902342268,1,141,1,1
21391,59,management,single,tertiary,cellular,7875.56,no,no,0,unknown,2,0.22080473316119953,397,0,0.31661972229826035,550.5893249378142,19.77651962220164,1,142,1,1
16125,36,management,single,tertiary,cellular,10969.58,yes,no,0,unknown,2,0.15405498379232715,1383,0,0.32370218703764736,547.0303043657784,19.616363696460027,1,143,1,1
16460,32,technician,married,secondary,cellular,11636.87,no,no,0,unknown,2,0.16870292554670058,1008,0,0.27715574642500507,544.1049589924573,19.48472315466058,1,144,1,1
16038,25,student,single,secondary,cellular,14982.33,yes,no,0,unknown,2,0.10284683436476667,2968,0,0.3519165155311745,542.2629546082754,19.401832957372395,1,145,1,1
21903,33,management,single,tertiary,cellular,2534.29,no,no,0,high,2,0.6441658528160867,47,1,0.33175041437669023,541.5835729736885,19.371260783815984,1,146,1,1
20625,28,management,single,tertiary,cellular,6839.34,no,no,3,unknown,2,0.24940483146679385,316,0,0.31661972229826035,540.078663313011,19.303539849085496,1,147,1,1
18657,46,management,single,tertiary,cellular,6716.49,no,no,1,low,2,0.25390256815912093,305,0,0.31661972229826035,539.9423965077314,19.29740784284791,1,148,1,1
18771,52,technician,married,tertiary,cellular,2578.47,no,no,3,high,2,0.6286071636696944,62,1,0.3323750257148735,538.7283032653627,19.24277364694132,1,149,1,1
22657,49,admin.,married,secondary,cellular,12499.44,yes,no,0,unknown,2,0.12096063706429432,2275,0,0.3519165155311745,532.0767357955078,18.94345311079785,1,150,1,1
21402,32,technician,married,tertiary,cellular,3005.96,yes,no,5,high,2,0.5201489591209617,157,1,0.33793096277812434,528.3709312850784,18.77669190782853,1,151,1,1
18828,51,technician,married,secondary,cellular,12407.29,yes,no,1,low,2,0.12052590415949,2288,0,0.3519165155311745,526.255902925711,18.681515631656993,1,152,1,1
21823,29,student,single,tertiary,cellular,3233.04,no,no,8,high,2,0.6718592384708665,31,1,0.24212213297498703,525.9250566196864,18.666627547885888,1,153,1,1
17601,44,management,married,tertiary,cellular,8002.65,no,no,0,unknown,2,0.19510264926147677,580,0,0.33472575145881395,522.6201076695728,18.517904845130776,1,154,1,1
15847,35,technician,single,tertiary,cellular,8034.46,no,no,0,unknown,2,0.22973246823647372,356,0,0.2829305419136747,522.2264963780225,18.50019233701101,1,155,1,1
20177,53,management,divorced,tertiary,cellular,2160.33,no,no,2,high,2,0.6546260888457585,41,1,0.3640278435652944,514.8112263832083,18.166505187244375,1,156,1,1
18888,63,retired,married,primary,telephone,12326.49,no,no,0,low,2,0.1606084754051955,1193,0,0.2596533736813704,514.045849599015,18.132063231955676,1,157,1,1
16887,62,retired,married,tertiary,cellular,2506.77,yes,no,9,high,2,0.6022102535492029,88,1,0.33793096277812434,510.14145911440977,17.95636566014844,1,158,1,1
20988,45,blue-collar,married,secondary,cellular,9887.82,no,no,1,unknown,2,0.18599463292127216,715,0,0.27715574642500507,509.7119923691087,17.93703965660989,1,159,1,1
21131,44,admin.,single,secondary,cellular,10608.41,yes,no,0,unknown,2,0.13518023586155534,1922,0,0.3519165155311745,504.6649521198468,17.709922845393105,1,160,1,1
18357,31,management,married,tertiary,cellular,7143.76,no,no,2,unknown,2,0.2091799291477143,462,0,0.33472575145881395,500.19113741260327,17.508601183567148,1,161,1,1
21634,54,management,married,tertiary,cellular,11783.91,yes,no,0,unknown,2,0.13118936031493397,2023,0,0.32298264008632677,499.3064905150272,17.46879207317622,1,162,1,1
16137,62,retired,married,tertiary,cellular,2579.41,yes,no,6,high,2,0.5679510389958864,123,1,0.33793096277812434,495.06162519785,17.27777313390325,1,163,1,1
23095,34,management,married,tertiary,cellular,7487.81,no,no,0,unknown,2,0.19488266402236243,583,0,0.33472575145881395,488.44666512815144,16.980099930766812,1,164,1,1
21571,53,retired,married,tertiary,cellular,7269.94,no,no,0,unknown,2,0.2239899132441939,379,0,0.29719947784204725,483.95761764497996,16.778092794024097,1,165,1,1
21020,31,management,married,tertiary,cellular,1860.61,no,no,2,high,2,0.6184530480621817,74,1,0.41982888977317945,483.0970722917915,16.739368253130618,1,166,1,1
15701,38,management,single,tertiary,cellular,6903.82,no,no,0,unknown,2,0.22096380249881142,395,0,0.31661972229826035,483.00158763901436,16.735071443755647,1,167,1,1
15921,45,admin.,divorced,secondary,cellular,8217.22,no,no,0,unknown,2,0.2050463190943666,493,0,0.2853956595556212,480.86620456819134,16.63897920556861,1,168,1,1
15762,38,management,married,tertiary,,14647.8,no,no,0,unknown,2,0.09959832082544319,3135,0,0.328672854140144,479.49960548669867,16.57748224690144,1,169,1,1
