id,age,job,marital,education,preferred_contact,balance,loan_house,loan_personal,n_marketing_contacts,marketing_potential,period,proba_invest,rank,target
21143,55,management,divorced,tertiary,cellular,2360.67,no,no,2,high,2,0.6554670420752227,40,1
20177,53,management,divorced,tertiary,cellular,2160.33,no,no,2,high,2,0.6546260888457193,41,1
16039,31,management,single,tertiary,cellular,611.68,no,no,2,high,2,0.6512949280235176,42,1
15835,61,self-employed,married,tertiary,cellular,11053.98,no,no,5,high,2,0.6478573491872505,43,1
19765,56,management,married,,cellular,4668.23,no,no,0,high,2,0.6469241664839458,44,1
17625,56,retired,married,tertiary,cellular,301.43,no,no,2,high,2,0.6460064969442645,45,1
21443,40,management,married,tertiary,cellular,55.39,no,no,6,high,2,0.6446817724043721,46,1
21903,33,management,single,tertiary,cellular,2534.29,no,no,0,high,2,0.6441658528160477,47,1
15834,41,self-employed,single,tertiary,telephone,1597.21,no,no,8,high,2,0.6419033777581623,48,1
20779,40,unemployed,single,tertiary,cellular,8114.82,no,no,2,high,2,0.6417941401715312,49,1
20151,53,management,married,tertiary,cellular,1603.56,no,no,5,high,2,0.6412304938972906,50,1
22161,29,technician,single,tertiary,cellular,1757.98,no,no,0,high,2,0.6406094331822165,51,1
16738,28,management,single,tertiary,cellular,259.06,no,no,1,high,2,0.6386232921776156,52,1
16138,36,management,married,tertiary,cellular,448.12,no,no,5,high,2,0.6383991933617761,53,1
22610,33,management,single,tertiary,cellular,1744.55,no,no,0,high,2,0.637742636303335,54,1
17146,31,management,single,tertiary,cellular,152.97,no,no,1,high,2,0.6365927429728994,55,1
23086,26,technician,single,tertiary,cellular,1104.21,no,no,0,high,2,0.6364392431416614,56,1
18702,32,management,married,tertiary,cellular,1299.91,no,no,4,high,2,0.635833897795953,57,1
18186,36,technician,married,secondary,cellular,15823.54,no,no,0,high,2,0.6332040123593636,58,1
18770,57,retired,married,secondary,cellular,5365.78,no,no,4,high,2,0.6325523541384912,59,1
17687,46,management,married,tertiary,cellular,2733.31,no,no,3,high,2,0.6310112111808719,60,1
20203,40,unemployed,single,tertiary,cellular,8129.24,no,no,1,high,2,0.6308235270087543,61,1
18771,52,technician,married,tertiary,cellular,2578.47,no,no,3,high,2,0.6286071636696485,62,1
16174,48,management,married,tertiary,cellular,2426.19,no,no,3,high,2,0.6276957130209845,63,1
20586,43,services,married,tertiary,cellular,4298.31,no,no,3,high,2,0.6269865206426909,64,1
16049,55,technician,married,secondary,cellular,10424.17,no,no,4,high,2,0.6259593512001169,65,1
19862,36,management,married,tertiary,cellular,269.3,no,no,4,high,2,0.6257870028834186,66,1
16065,37,management,married,tertiary,cellular,88.43,no,no,4,high,2,0.6238948371029659,67,1
19820,28,management,married,tertiary,cellular,883.8,no,no,3,high,2,0.6227931082403165,68,1
17621,67,retired,divorced,secondary,cellular,698.46,no,no,3,high,2,0.6215936114246647,69,1
18272,23,student,single,tertiary,cellular,649.39,no,no,5,high,2,0.6204869266297647,70,1
18536,47,admin.,married,secondary,cellular,3729.06,no,no,4,high,2,0.6204412203238674,71,1
21875,30,student,single,tertiary,cellular,7625.46,no,no,0,high,2,0.6193576815016891,72,1
22299,31,admin.,single,secondary,cellular,244.07,no,no,2,high,2,0.6189695162799833,73,1
21020,31,management,married,tertiary,cellular,1860.61,no,no,2,high,2,0.6184530480621381,74,1
21504,42,admin.,single,secondary,cellular,668.2,no,no,2,high,2,0.6181475023318842,75,1
22961,31,management,single,tertiary,cellular,284.31,yes,no,50,low,2,0.6172277096764887,76,1
22155,36,student,single,,cellular,373.38,no,no,2,high,2,0.617139800556194,77,1
22981,48,management,married,tertiary,cellular,1118.84,no,no,3,high,2,0.6168356658747148,78,1
21808,29,self-employed,single,tertiary,cellular,1636.28,no,no,4,high,2,0.6150287191656669,79,1
20678,71,retired,divorced,secondary,cellular,1.49,no,no,3,high,2,0.6141918700469519,80,1
16580,35,unemployed,single,tertiary,cellular,416.98,no,no,5,high,2,0.6137844513491005,81,1
16830,36,technician,single,tertiary,cellular,536.71,yes,no,11,high,2,0.6130258227642275,82,1
20972,26,admin.,single,secondary,cellular,249.76,no,no,1,high,2,0.6096537328575555,83,1
15650,47,admin.,divorced,secondary,cellular,2229.39,no,no,0,high,2,0.6057664186721587,84,1
15640,27,student,single,tertiary,cellular,302.83,no,no,4,high,2,0.6046148576901349,85,1
19600,38,technician,married,secondary,cellular,6889.81,no,no,4,high,2,0.6031380130670917,86,1
16088,27,admin.,married,secondary,cellular,3426.42,no,no,2,high,2,0.6031190082831116,87,1
16887,62,retired,married,tertiary,cellular,2506.77,yes,no,9,high,2,0.6022102535491541,88,1
22550,38,management,married,tertiary,cellular,201.12,no,no,2,high,2,0.601706431810774,89,1
20510,33,management,married,tertiary,cellular,1298.97,no,no,1,high,2,0.6015339219663077,90,1
20345,25,student,single,tertiary,cellular,1186.2,no,no,3,high,2,0.6014218263788791,91,1
20753,38,management,married,tertiary,cellular,1307.11,no,no,1,high,2,0.59958855322672,92,1
16860,46,management,married,tertiary,cellular,297.21,no,no,2,high,2,0.5992979804935594,93,1
20916,40,admin.,married,secondary,cellular,729.51,no,no,4,high,2,0.5980063661777915,94,1
21741,41,,single,,cellular,981.12,no,no,0,high,2,0.597406791655997,95,1
21689,62,management,married,tertiary,cellular,3493.34,no,no,0,high,2,0.5969550681824566,96,1
15822,58,admin.,married,secondary,cellular,103.55,no,no,5,high,2,0.5969397337068634,97,1
21463,31,self-employed,single,tertiary,cellular,3410.82,no,no,1,high,2,0.5948626555235482,98,1
19119,42,technician,married,tertiary,cellular,765.74,no,no,1,high,2,0.5946296502293738,99,1
17128,37,management,married,tertiary,cellular,565.16,no,no,1,high,2,0.5936820508252671,100,1
16273,53,blue-collar,married,secondary,cellular,6176.14,no,no,1,high,2,0.5935639692460506,101,1
18585,28,self-employed,single,tertiary,cellular,124.95,no,no,3,high,2,0.5911803667695436,102,1
21780,58,management,married,tertiary,cellular,1246.02,no,no,1,high,2,0.5909763727760582,103,1
19623,43,technician,divorced,secondary,cellular,1716.87,no,no,3,high,2,0.5895778080085988,104,1
18453,59,retired,divorced,secondary,cellular,419.37,no,no,0,high,2,0.5881046210795804,105,1
22221,67,retired,divorced,secondary,cellular,672.62,no,no,0,high,2,0.5870177620039944,106,1
20460,41,blue-collar,married,secondary,cellular,1991.56,no,no,3,high,2,0.5858445789384775,107,1
20361,31,services,single,secondary,cellular,1569.37,no,no,4,high,2,0.5854845132982021,108,1
20466,72,retired,married,secondary,cellular,5892.92,no,no,0,high,2,0.5853921969478728,109,1
21445,60,technician,married,secondary,cellular,184.51,no,no,8,high,2,0.5832910027894243,110,1
20377,28,management,single,secondary,cellular,1662.54,no,no,2,high,2,0.5830778464684717,111,1
21962,61,retired,married,secondary,cellular,987.94,no,no,3,high,2,0.5826889044960917,112,1
20381,32,admin.,married,secondary,cellular,1248.45,no,no,2,high,2,0.5825147795315699,113,1
21096,38,technician,married,secondary,cellular,325.22,no,no,7,high,2,0.5818325788864503,114,1
15419,34,admin.,married,secondary,cellular,966.69,no,no,2,high,2,0.5792726723794219,115,1
20861,29,technician,single,secondary,cellular,1104.14,no,no,2,high,2,0.5791400622251336,116,1
21069,77,retired,married,secondary,telephone,4188.5,no,no,2,high,2,0.5786284931862637,117,1
19306,45,blue-collar,single,secondary,cellular,74.56,no,no,0,high,2,0.5779780787814458,118,1
21033,80,retired,married,secondary,telephone,2399.81,no,no,3,high,2,0.5736620754188854,119,1
18969,35,admin.,single,secondary,cellular,-1.63,no,yes,10,high,2,0.5718297555576176,120,1
15609,42,blue-collar,married,secondary,cellular,2914.65,no,no,1,high,2,0.5700174325796354,121,1
22108,40,blue-collar,married,secondary,cellular,1452.12,no,no,2,high,2,0.5699162213781883,122,1
16137,62,retired,married,tertiary,cellular,2579.41,yes,no,6,high,2,0.5679510389958397,123,1
20621,60,retired,married,secondary,cellular,1921.32,no,no,1,high,2,0.567744115825675,124,1
15688,35,unemployed,single,tertiary,cellular,412.79,no,no,1,high,2,0.567443449657145,125,1
19189,60,retired,married,secondary,cellular,495.18,no,no,2,high,2,0.5671339980203667,126,1
21924,74,retired,married,secondary,cellular,953.52,no,no,2,high,2,0.5653377871603646,127,1
18736,61,retired,married,secondary,telephone,1802.97,no,no,2,high,2,0.5645639284302969,128,1
16354,44,technician,divorced,secondary,cellular,2.83,no,no,2,high,2,0.5626795323394546,129,1
16353,75,retired,married,secondary,cellular,269.23,no,no,2,high,2,0.5589717657956388,130,1
18616,35,management,single,tertiary,cellular,1788.68,yes,no,5,high,2,0.5531065804607658,131,1
21881,28,services,single,secondary,cellular,376.46,no,no,2,high,2,0.5528940914372914,132,1
17946,53,entrepreneur,married,tertiary,cellular,1953.96,no,no,3,high,2,0.551223151961141,133,1
22691,61,retired,married,secondary,cellular,30.92,no,no,1,high,2,0.5508638730532134,134,1
15878,54,services,divorced,secondary,cellular,-10.44,no,no,3,high,2,0.5498003511529229,135,1
17299,38,services,married,secondary,cellular,4073.88,no,no,3,high,2,0.5469319906409368,136,1
17167,23,student,single,secondary,cellular,75.59,no,no,6,high,2,0.5468026660632472,137,1
17788,56,blue-collar,married,secondary,telephone,60053.17,no,no,0,unknown,2,0.5437223349065573,138,1
15517,63,housemaid,married,tertiary,cellular,1498.31,no,no,3,high,2,0.5430718845883059,139,1
22624,42,technician,married,secondary,cellular,1142.25,no,no,3,high,2,0.5401104021759888,140,1
20891,52,technician,married,secondary,cellular,135.78,no,no,4,high,2,0.5390054082507112,141,1
18262,32,technician,single,tertiary,cellular,1214.41,yes,no,4,high,2,0.5387452979758971,142,1
20451,53,admin.,married,secondary,telephone,124.11,no,no,1,high,2,0.5387169989861683,143,1
17584,24,student,single,secondary,cellular,445.28,no,no,5,high,2,0.5377352939085399,144,1
17422,59,technician,married,secondary,cellular,48.74,no,no,4,high,2,0.5353178273009622,145,1
18718,37,technician,married,secondary,cellular,1546.94,no,no,2,high,2,0.5338404764605104,146,1
19993,33,management,single,tertiary,cellular,681.79,yes,no,4,high,2,0.5323425062700672,147,1
15634,30,technician,married,secondary,cellular,2351.28,no,no,1,high,2,0.5319152549883192,148,1
20263,42,unemployed,married,tertiary,cellular,565.09,no,no,2,high,2,0.5317281386583661,149,1
19385,70,retired,married,primary,cellular,2339.63,no,no,5,high,2,0.5303275328452697,150,1
17719,35,technician,married,tertiary,cellular,8161.7,yes,no,2,high,2,0.528485410762846,151,1
22565,35,unemployed,married,secondary,cellular,1020.55,no,no,8,high,2,0.5277093835703581,152,1
21347,22,management,single,tertiary,cellular,142.4,no,yes,3,high,2,0.5268203721871676,153,1
21413,38,services,married,secondary,cellular,2673.56,no,no,2,high,2,0.5227026396601177,154,1
16161,56,services,married,secondary,cellular,2012.58,no,no,3,high,2,0.5212871885454271,155,1
17042,39,technician,married,secondary,cellular,107.66,no,no,2,high,2,0.5203243359600289,156,1
21402,32,technician,married,tertiary,cellular,3005.96,yes,no,5,high,2,0.5201489591209165,157,1
16200,72,retired,married,primary,cellular,2592.58,no,no,4,high,2,0.5197702562028905,158,1
22990,63,technician,married,secondary,cellular,1050.1,no,no,2,high,2,0.5185774398336086,159,1
22536,57,housemaid,married,tertiary,cellular,2268.86,no,no,0,high,2,0.5165618311032213,160,1
15613,47,technician,married,secondary,cellular,4.0,no,no,2,high,2,0.5160552287027491,161,1
20401,29,admin.,single,secondary,cellular,420.58,yes,no,5,high,2,0.5120945729304062,162,1
19004,31,technician,married,secondary,cellular,139.26,no,no,1,high,2,0.511991828100393,163,1
15526,54,technician,married,secondary,telephone,55.04,no,no,3,high,2,0.5117992118830925,164,1
20045,38,management,single,tertiary,cellular,1072.9,yes,no,2,high,2,0.5097838943932708,165,1
16331,57,retired,married,secondary,cellular,3713.94,yes,no,7,high,2,0.5096026767382891,166,1
17634,23,student,single,secondary,cellular,1183.17,no,no,2,high,2,0.5088073860346781,167,1
22577,35,management,single,tertiary,cellular,112.52,yes,no,2,high,2,0.5025590850261251,168,1
22819,45,management,married,tertiary,cellular,293.82,yes,no,6,high,2,0.5014080918539767,169,1
15725,60,services,married,tertiary,cellular,4390.66,yes,no,5,high,2,0.49992992907348827,170,1
20037,25,student,single,secondary,cellular,271.5,no,no,2,high,2,0.4999133451595157,171,1
17716,33,management,married,secondary,cellular,345.02,no,no,0,high,2,0.49968345575814566,172,1
18669,33,self-employed,married,secondary,cellular,433.94,no,no,6,high,2,0.49943541343624176,173,1
15799,35,management,single,tertiary,cellular,710.99,yes,no,1,high,2,0.4958675910131412,174,1
19887,70,retired,married,primary,cellular,2481.79,no,no,2,high,2,0.4956824830727922,175,1
22355,67,technician,married,secondary,cellular,-22.88,no,no,1,high,2,0.49544665959083745,176,1
22321,35,management,divorced,tertiary,cellular,451.45,yes,no,1,high,2,0.49280344887157607,177,1
19103,31,admin.,married,secondary,cellular,8987.64,yes,no,1,high,2,0.4925632722923279,178,1
18599,40,management,married,tertiary,cellular,2793.63,yes,no,3,high,2,0.48965789989774267,179,1
22839,76,retired,married,primary,cellular,3420.15,no,no,1,high,2,0.4894763187617226,180,1
22170,27,student,single,secondary,cellular,520.68,no,no,1,high,2,0.4892974315974113,181,1
18813,27,student,single,tertiary,cellular,3695.07,yes,no,4,high,2,0.4886225180832593,182,1
21350,30,student,single,secondary,cellular,1824.1,no,no,0,high,2,0.48757588054213663,183,1
22732,70,retired,married,primary,cellular,2865.22,no,no,1,high,2,0.4870936067565746,184,1
18856,48,unemployed,married,secondary,cellular,966.11,no,no,5,high,2,0.48586385820030475,185,1
18307,53,services,married,secondary,cellular,326.77,no,no,1,high,2,0.48371111309551695,186,1
22483,29,unemployed,single,tertiary,cellular,480.11,yes,no,6,high,2,0.4833396299854109,187,1
20527,26,technician,single,tertiary,cellular,-21.92,yes,no,0,high,2,0.48250759323371895,188,1
16245,37,admin.,married,secondary,cellular,1342.28,yes,no,6,high,2,0.4823963508831502,189,1
17799,52,unemployed,married,secondary,cellular,1394.9,no,no,4,high,2,0.4760082367844941,190,1
19694,29,student,single,secondary,cellular,354.88,no,no,0,high,2,0.4750323980211117,191,1
16660,30,admin.,single,secondary,cellular,286.95,yes,no,2,high,2,0.474579782229543,192,1
19671,31,management,single,tertiary,cellular,39017.86,no,no,0,unknown,2,0.47170425107334135,193,1
20445,29,management,married,tertiary,cellular,1455.8,yes,no,2,high,2,0.47050900775723054,194,1
20090,32,technician,single,secondary,cellular,6524.02,yes,no,1,high,2,0.46697345414781277,195,1
17981,48,unemployed,divorced,secondary,cellular,216.4,no,no,0,high,2,0.46509623198647115,196,1
16847,59,unemployed,married,secondary,cellular,1729.68,no,no,3,high,2,0.46409121041548823,197,1
18667,35,management,married,tertiary,cellular,937.04,yes,no,2,high,2,0.4634373543335944,198,1
19174,60,management,married,tertiary,cellular,623.82,yes,no,3,high,2,0.46215994491056034,199,1
16946,30,admin.,single,tertiary,cellular,283.39,no,no,20,low,2,0.459332726312251,200,1
17175,26,technician,single,secondary,cellular,1226.01,yes,no,4,high,2,0.45866595899087914,201,1
16411,58,retired,married,primary,telephone,617.73,no,no,1,high,2,0.4586150415420532,202,1
16275,29,blue-collar,married,secondary,cellular,798.29,yes,no,5,high,2,0.45772341076050244,203,1
22112,37,technician,married,tertiary,cellular,182.76,yes,no,2,high,2,0.45728154730506376,204,1
19551,33,technician,single,secondary,cellular,1256.9,yes,no,4,high,2,0.4560192820583316,205,1
21286,40,admin.,single,secondary,cellular,-18.66,yes,no,1,high,2,0.4557951787892221,206,1
20504,34,blue-collar,single,,cellular,143.51,yes,yes,3,high,2,0.4545879515960181,207,1
16564,51,entrepreneur,married,primary,cellular,1443.33,no,no,9,high,2,0.4516725048167092,208,1
21132,58,management,married,secondary,cellular,2152.97,no,yes,7,high,2,0.44825417677702817,209,1
16793,33,management,married,tertiary,cellular,229.08,yes,no,1,high,2,0.44618612208820907,210,1
15518,33,management,single,tertiary,cellular,7605.35,yes,no,30,low,2,0.4439427122036568,211,1
19752,66,retired,married,secondary,cellular,2427.93,no,yes,2,high,2,0.4414203985968538,212,1
22259,61,retired,married,tertiary,cellular,33357.0,no,no,2,unknown,2,0.4407360001997383,213,1
20565,52,blue-collar,married,secondary,cellular,54.73,no,yes,4,high,2,0.43634862928564405,214,1
18575,39,blue-collar,married,secondary,cellular,1415.62,yes,no,3,high,2,0.4352842107390756,215,1
22926,48,blue-collar,married,secondary,cellular,1777.49,yes,no,3,high,2,0.4347126626382743,216,1
22402,25,technician,single,secondary,cellular,189.64,no,yes,2,high,2,0.43286836083211144,217,1
17312,48,management,married,tertiary,cellular,-20.55,no,yes,0,high,2,0.43249386591201877,218,1
16989,60,technician,married,secondary,cellular,942.25,yes,no,7,high,2,0.43168504127499313,219,1
18034,35,technician,single,secondary,cellular,4623.02,yes,no,41,unknown,2,0.4286436636506221,220,1
17206,48,housemaid,single,primary,cellular,34.48,no,no,4,high,2,0.4274236504189083,221,1
21645,42,blue-collar,married,secondary,cellular,409.29,yes,no,3,high,2,0.42533059383409455,222,1
19208,55,management,married,tertiary,cellular,39860.21,no,no,0,unknown,2,0.42318088075460114,223,1
18582,52,unemployed,married,secondary,cellular,90.72,no,no,0,high,2,0.4173148097388247,224,1
16203,34,management,single,tertiary,cellular,27091.98,no,no,1,low,2,0.41638615401007123,225,1
19540,39,management,married,tertiary,cellular,-25.66,yes,no,37,low,2,0.4120695434206398,226,1
15868,48,blue-collar,married,secondary,cellular,1234.38,yes,no,1,high,2,0.4066865911461398,227,1
22863,33,services,single,secondary,cellular,245.81,yes,no,2,high,2,0.4035285909800284,228,1
17334,32,admin.,married,secondary,cellular,148.07,yes,no,0,high,2,0.40329338278767307,229,1
15851,48,blue-collar,married,secondary,telephone,911.31,yes,no,2,high,2,0.4022296866125539,230,1
20647,53,technician,married,secondary,telephone,5341.15,yes,no,2,high,2,0.4007484589837634,231,1
16150,40,services,single,secondary,cellular,1564.36,yes,no,1,high,2,0.4003860333988559,232,1
17323,48,blue-collar,married,secondary,cellular,1845.4,yes,no,0,high,2,0.4003510000972204,233,1
20840,36,blue-collar,single,secondary,,3764.69,no,no,3,high,2,0.39515976148921694,234,1
16179,40,services,divorced,secondary,cellular,650.69,yes,no,1,high,2,0.39192354812821345,235,1
19042,48,technician,married,secondary,cellular,2036.2,yes,no,2,high,2,0.3879937884998893,236,1
19582,45,technician,married,tertiary,cellular,1816.17,yes,yes,6,high,2,0.37774642832203653,237,1
19426,55,entrepreneur,married,tertiary,cellular,42708.67,no,no,0,unknown,2,0.37737628077107827,238,1
22356,28,admin.,married,secondary,,1525.08,no,no,5,high,2,0.3690982759683422,239,1
16359,32,blue-collar,single,primary,cellular,290.17,yes,no,1,high,2,0.3683862136798143,240,1
18508,34,technician,married,secondary,cellular,359.18,yes,no,1,high,2,0.36832032116521385,241,1
21831,47,technician,married,secondary,cellular,583.81,yes,no,1,high,2,0.36509376110032177,242,1
20895,51,admin.,married,tertiary,cellular,-31.22,yes,yes,2,high,2,0.3620502293352905,243,1
19261,55,management,divorced,tertiary,telephone,2244.23,yes,yes,2,high,2,0.3612600588050776,244,1
18255,55,entrepreneur,divorced,secondary,cellular,595.31,yes,no,3,high,2,0.35787642157671623,245,1
22690,42,admin.,single,secondary,cellular,-296.49,yes,yes,4,high,2,0.3519439817723586,246,1
22966,43,admin.,single,secondary,,58054.45,no,no,0,unknown,2,0.35054139959262076,247,1
22088,46,blue-collar,married,primary,cellular,797.26,yes,no,3,high,2,0.34642526849479655,248,1
18872,34,technician,single,tertiary,cellular,2561.28,no,no,16,unknown,2,0.3464021291177471,249,1
18177,31,management,married,tertiary,cellular,1313.84,yes,yes,3,high,2,0.344713696418778,250,1
21852,26,self-employed,single,secondary,cellular,1322.23,yes,no,0,high,2,0.3427942767097725,251,1
20365,38,admin.,single,secondary,cellular,271.49,yes,yes,2,high,2,0.33636187651337923,252,1
19686,36,management,married,tertiary,cellular,2975.24,yes,yes,1,high,2,0.3345064381795476,253,1
19395,30,management,single,tertiary,cellular,9819.83,no,no,6,low,2,0.3314212706788747,254,1
19407,48,management,married,secondary,cellular,37474.17,no,no,0,unknown,2,0.3287606822505672,255,1
20476,31,technician,married,tertiary,cellular,751.48,no,yes,28,low,2,0.32867197716694013,256,1
22020,40,blue-collar,married,primary,cellular,738.52,yes,no,1,high,2,0.3268151628575357,257,1
22438,32,management,single,tertiary,cellular,12889.93,no,no,3,low,2,0.32292301452367533,258,1
19753,43,services,married,primary,telephone,2717.06,yes,no,5,high,2,0.31903027682794566,259,1
22540,38,management,single,tertiary,telephone,22324.86,no,no,0,unknown,2,0.31647048174012676,260,1
19196,34,admin.,single,secondary,cellular,3194.85,no,no,12,low,2,0.3139567073152935,261,1
18883,41,blue-collar,married,primary,cellular,286.65,yes,no,0,high,2,0.31255680638789873,262,1
21084,31,management,single,tertiary,cellular,12772.87,no,no,2,low,2,0.31200833307012216,263,1
22626,40,management,married,tertiary,cellular,74.57,yes,yes,1,high,2,0.3106444303384472,264,1
22802,31,management,single,tertiary,cellular,9744.65,no,no,4,low,2,0.3096114531278255,265,1
16036,28,blue-collar,single,secondary,telephone,1350.35,no,no,18,unknown,2,0.309182518707419,266,1
22010,33,management,single,tertiary,cellular,9465.99,no,no,4,low,2,0.306795444134931,267,1
15448,55,management,divorced,tertiary,cellular,26832.92,yes,no,4,low,2,0.3033233274126554,268,1
19538,62,retired,married,secondary,cellular,2851.26,yes,yes,1,high,2,0.2990599665514261,269,1
22517,31,entrepreneur,single,tertiary,cellular,-458.7,yes,yes,2,high,2,0.2976160198060312,270,1
19567,45,admin.,married,,cellular,2120.22,no,no,5,low,2,0.2959185293551953,271,1
22583,42,admin.,married,secondary,cellular,16852.06,no,no,4,low,2,0.2928315659758246,272,1
18039,56,retired,married,secondary,cellular,727.26,no,no,16,low,2,0.29124335116866035,273,1
23016,42,technician,single,,cellular,11293.1,no,no,1,unknown,2,0.28959757894577937,274,1
15893,60,admin.,married,,cellular,468.08,no,no,6,low,2,0.28854221613288367,275,1
16489,41,technician,single,tertiary,cellular,15609.68,no,no,1,unknown,2,0.2881774984771658,276,1
21187,31,management,single,tertiary,cellular,6659.53,no,no,4,low,2,0.28680076465459475,277,1
20785,33,management,married,tertiary,cellular,2316.56,no,no,11,low,2,0.28530692763261706,278,1
21339,43,management,married,tertiary,cellular,21996.65,no,no,0,unknown,2,0.2847698533585683,279,1
17605,50,unemployed,married,secondary,cellular,36925.21,no,no,2,unknown,2,0.2824455165134478,280,1
21907,35,blue-collar,single,,cellular,560.5,no,no,1,low,2,0.27762325899332946,281,1
18471,34,admin.,single,tertiary,cellular,1034.81,no,no,6,unknown,2,0.2752128399810789,282,1
18724,32,admin.,single,tertiary,cellular,9048.66,no,no,0,unknown,2,0.27502981811718374,283,1
16592,45,management,single,tertiary,cellular,527.48,no,no,11,unknown,2,0.274865771691902,284,1
22652,30,management,single,tertiary,cellular,14065.72,no,no,0,unknown,2,0.27022095339386587,285,1
18597,32,services,single,,cellular,6311.77,yes,no,13,low,2,0.26888912552544797,286,1
18138,65,retired,married,secondary,cellular,23870.42,no,no,0,unknown,2,0.2674684689503155,287,1
19386,39,technician,single,secondary,cellular,1588.31,no,no,16,unknown,2,0.2671422929559615,288,1
19420,32,admin.,single,secondary,cellular,8776.36,no,no,3,low,2,0.26652548331648385,289,1
21627,32,admin.,single,tertiary,cellular,2012.21,no,no,1,low,2,0.26586013849503876,290,1
20298,33,technician,single,tertiary,cellular,8081.72,yes,no,13,low,2,0.2654741050310235,291,1
16778,33,admin.,single,tertiary,cellular,7683.11,no,no,0,unknown,2,0.2651846753270808,292,1
16023,45,blue-collar,single,,cellular,887.54,no,no,3,unknown,2,0.26503266403962106,293,1
18251,34,management,single,tertiary,cellular,13219.43,no,no,0,unknown,2,0.26305893571478584,294,1
16867,58,management,divorced,tertiary,cellular,26733.8,yes,no,0,low,2,0.26274774833789205,295,1
21078,27,management,single,tertiary,cellular,1886.68,no,no,8,unknown,2,0.26200757620999937,296,1
22534,38,admin.,single,secondary,cellular,109.71,no,no,9,low,2,0.2609195259488042,297,1
