id,age,job,marital,education,preferred_contact,balance,loan_house,loan_personal,n_marketing_contacts,marketing_potential,call_length,investment,period
42,27,services,single,secondary,NA,437,yes,yes,0,unknown,275,0,0
43,31,blue-collar,married,secondary,cellular,457,yes,no,0,unknown,236,0,0
44,46,admin.,single,NA,NA,0,no,no,0,unknown,378,0,0
45,31,blue-collar,single,secondary,cellular,823,yes,yes,0,unknown,208,0,0
46,47,entrepreneur,married,secondary,cellular,8480,no,no,0,unknown,137,0,0
47,43,blue-collar,single,primary,cellular,13620,yes,no,0,unknown,128,0,0
48,50,blue-collar,married,secondary,cellular,1832,yes,no,0,unknown,80,0,0
49,29,self-employed,single,tertiary,cellular,1579,no,no,4,high,178,622.44,0
50,47,management,married,tertiary,cellular,1057,no,no,0,unknown,488,0,0
51,36,management,married,tertiary,NA,101,yes,yes,0,unknown,426,0,0
52,31,admin.,married,secondary,cellular,223,no,no,0,unknown,297,0,0
53,58,retired,married,tertiary,NA,324,no,no,0,unknown,13,0,0
54,33,admin.,single,secondary,cellular,21854,yes,no,0,unknown,215,0,0
55,33,blue-collar,married,secondary,cellular,137,no,yes,0,unknown,305,0,0
56,39,technician,single,tertiary,NA,21,yes,no,0,unknown,58,0,0
57,55,management,married,tertiary,cellular,0,no,no,0,unknown,64,0,0
58,37,blue-collar,married,secondary,cellular,3173,yes,no,0,unknown,179,0,0
59,31,management,married,tertiary,cellular,3739,no,no,0,unknown,117,0,0
60,56,self-employed,married,secondary,NA,549,no,yes,0,unknown,181,0,0
61,86,retired,single,secondary,telephone,614,no,no,0,unknown,595,72.19,0
62,53,management,single,tertiary,NA,0,no,no,0,unknown,94,0,0
63,67,management,married,tertiary,cellular,405,no,no,2,high,344,349.5,0
64,44,management,married,secondary,cellular,781,yes,no,0,unknown,112,0,0
65,31,management,single,tertiary,cellular,43,yes,no,0,unknown,297,0,0
66,27,blue-collar,single,secondary,NA,2486,yes,no,0,unknown,733,587.08,0
67,57,technician,married,secondary,NA,0,yes,yes,0,unknown,200,0,0
68,41,admin.,divorced,secondary,cellular,270,yes,no,1,low,143,0,0
69,48,admin.,married,secondary,cellular,2088,no,yes,0,unknown,93,0,0
70,51,blue-collar,married,primary,cellular,462,yes,no,0,unknown,164,0,0
71,33,blue-collar,divorced,secondary,NA,1,no,no,0,unknown,66,0,0
72,28,blue-collar,single,secondary,cellular,-337,no,yes,0,unknown,284,0,0
73,37,entrepreneur,married,tertiary,cellular,1027,yes,no,0,unknown,294,0,0
74,39,blue-collar,married,secondary,NA,-131,yes,yes,0,unknown,232,0,0
75,31,blue-collar,single,NA,cellular,17,yes,no,0,unknown,72,0,0
76,31,management,married,tertiary,cellular,8279,no,no,0,unknown,533,0,0
77,31,admin.,married,secondary,cellular,713,yes,no,0,unknown,373,0,0
78,46,housemaid,married,primary,cellular,3512,no,no,1,low,175,679.15,0
79,46,management,married,tertiary,cellular,3,no,no,0,unknown,92,0,0
80,40,management,married,tertiary,cellular,51,no,no,0,unknown,164,0,0
81,46,management,divorced,tertiary,NA,770,yes,no,0,unknown,94,0,0
82,28,student,single,secondary,NA,246,yes,no,0,unknown,162,0,0
83,31,management,single,tertiary,NA,9874,yes,no,0,unknown,1222,0,0
84,31,admin.,married,secondary,NA,728,yes,yes,0,unknown,104,0,0
85,48,technician,married,secondary,cellular,3069,no,no,0,unknown,597,0,0
86,36,management,married,tertiary,cellular,93,no,no,4,unknown,102,0,0
87,50,management,single,tertiary,cellular,0,no,no,0,unknown,128,0,0
88,47,services,married,secondary,cellular,24,no,no,0,unknown,271,0,0
89,44,management,married,secondary,NA,576,yes,no,0,unknown,128,0,0
90,51,technician,single,secondary,NA,0,yes,no,0,unknown,364,0,0
91,38,services,single,secondary,cellular,167,yes,no,0,unknown,255,0,0
92,25,services,married,secondary,cellular,10,yes,no,1,low,51,0,0
93,33,technician,married,tertiary,cellular,575,yes,no,0,unknown,76,0,0
94,46,technician,married,secondary,cellular,329,yes,no,0,unknown,78,0,0
95,26,admin.,single,secondary,NA,317,yes,no,0,unknown,953,0,0
96,31,blue-collar,married,secondary,NA,66,no,no,0,unknown,121,0,0
97,49,blue-collar,married,primary,cellular,1898,no,no,0,unknown,159,0,0
98,59,blue-collar,married,primary,cellular,460,no,no,0,unknown,224,0,0
99,57,retired,divorced,primary,telephone,720,no,no,0,unknown,202,77.83,0
100,42,management,divorced,tertiary,cellular,-259,no,yes,0,unknown,149,0,0
101,30,student,single,secondary,cellular,1681,no,no,0,unknown,329,132.6,0
102,53,management,married,tertiary,NA,1786,yes,no,0,unknown,66,0,0
103,42,technician,married,secondary,NA,8036,no,no,0,unknown,948,0,0
104,43,management,single,tertiary,cellular,1696,yes,no,3,low,257,616.65,0
105,30,self-employed,single,secondary,cellular,5223,no,no,0,unknown,404,0,0
106,32,admin.,married,secondary,NA,739,yes,yes,0,unknown,153,0,0
107,60,technician,married,tertiary,cellular,-71,yes,yes,0,unknown,1451,0,0
108,34,admin.,married,tertiary,cellular,37,no,no,0,unknown,45,0,0
109,25,services,single,secondary,cellular,7604,no,no,0,unknown,107,0,0
110,34,blue-collar,married,secondary,cellular,123,yes,no,0,unknown,218,0,0
111,47,technician,married,tertiary,NA,2155,no,no,0,unknown,178,0,0
112,49,services,divorced,secondary,NA,3250,no,no,0,unknown,32,0,0
113,30,services,single,secondary,NA,773,yes,yes,0,unknown,29,0,0
114,43,management,married,tertiary,cellular,0,yes,no,0,unknown,110,0,0
115,44,technician,married,secondary,cellular,-102,no,yes,0,unknown,65,0,0
116,36,blue-collar,married,secondary,cellular,535,yes,no,3,low,121,0,0
117,37,technician,married,secondary,cellular,-318,no,no,0,unknown,25,0,0
118,47,blue-collar,married,primary,NA,117,yes,no,0,unknown,113,0,0
119,28,admin.,single,secondary,NA,-7,no,yes,0,unknown,3183,0,0
120,60,retired,married,secondary,cellular,0,no,no,0,unknown,408,264.63,0
121,34,management,single,tertiary,cellular,2187,yes,no,0,unknown,26,0,0
122,25,blue-collar,single,secondary,cellular,1243,no,yes,0,unknown,1341,215.73,0
123,34,technician,divorced,secondary,cellular,7,yes,yes,1,low,94,0,0
124,52,admin.,married,primary,NA,64,no,no,0,unknown,9,0,0
125,60,admin.,married,secondary,cellular,4348,yes,no,12,unknown,131,0,0
126,49,management,divorced,tertiary,cellular,112,no,no,0,unknown,62,0,0
127,46,management,married,tertiary,cellular,5261,no,no,0,unknown,215,0,0
128,31,services,married,secondary,NA,-704,yes,no,0,unknown,195,0,0
129,47,housemaid,married,primary,cellular,20,no,yes,0,unknown,564,0,0
130,38,blue-collar,single,secondary,NA,1121,no,no,0,unknown,203,0,0
131,53,blue-collar,married,primary,cellular,306,no,no,1,high,388,348.77,0
132,58,admin.,divorced,secondary,telephone,3337,yes,no,3,low,369,640.82,0
133,58,management,married,tertiary,cellular,256,no,no,3,high,422,296.71,0
134,38,technician,single,secondary,cellular,260,no,no,0,unknown,53,0,0
135,28,blue-collar,married,primary,NA,46,yes,no,0,unknown,205,0,0
136,28,management,single,tertiary,cellular,33,no,no,0,unknown,271,0,0
137,39,management,single,tertiary,cellular,5073,yes,no,4,low,1182,1277.65,0
138,43,technician,married,secondary,cellular,994,yes,yes,0,unknown,51,0,0
139,36,services,single,secondary,cellular,511,yes,yes,1,low,706,0,0
140,49,services,married,secondary,cellular,199,yes,no,0,unknown,28,0,0
141,50,blue-collar,divorced,primary,cellular,171,no,no,0,unknown,75,0,0
142,34,management,married,tertiary,cellular,160,yes,yes,0,unknown,130,0,0
143,39,management,single,tertiary,cellular,2454,yes,no,2,low,716,746.74,0
144,48,management,married,tertiary,NA,5320,yes,no,0,unknown,792,1372.71,0
145,60,retired,married,NA,cellular,209,no,no,0,unknown,472,0,0
146,30,services,married,secondary,cellular,1808,yes,no,0,unknown,83,0,0
147,40,blue-collar,married,primary,NA,104,yes,no,0,unknown,470,0,0
148,40,blue-collar,married,secondary,NA,580,yes,no,0,unknown,192,0,0
149,40,admin.,single,secondary,cellular,1200,yes,no,8,low,163,0,0
150,24,technician,single,secondary,NA,3926,yes,no,0,unknown,320,0,0
151,29,admin.,single,secondary,NA,3986,yes,no,0,unknown,488,0,0
152,49,technician,married,secondary,cellular,307,no,no,0,unknown,854,292.52,0
153,35,management,married,secondary,cellular,724,yes,no,1,low,287,346.95,0
154,29,management,married,tertiary,cellular,0,no,yes,0,unknown,574,0,0
155,37,management,married,tertiary,cellular,675,no,no,0,unknown,49,0,0
156,29,admin.,married,secondary,NA,0,yes,no,0,unknown,121,0,0
157,53,blue-collar,single,primary,NA,354,yes,no,0,unknown,96,0,0
158,25,student,single,tertiary,cellular,253,no,no,0,unknown,597,42.93,0
159,50,admin.,divorced,secondary,cellular,223,no,no,0,unknown,221,0,0
160,31,technician,single,secondary,cellular,1447,yes,no,15,low,236,0,0
161,36,management,single,tertiary,cellular,419,no,no,0,unknown,122,0,0
162,55,services,single,secondary,telephone,1126,yes,no,0,unknown,166,0,0
163,32,admin.,married,secondary,cellular,7522,yes,no,0,unknown,240,0,0
164,40,blue-collar,married,primary,NA,-740,yes,no,0,unknown,126,0,0
165,41,management,single,tertiary,cellular,1373,no,no,0,unknown,81,0,0
166,27,services,single,secondary,cellular,-151,no,no,0,unknown,283,0,0
167,41,blue-collar,married,secondary,cellular,0,yes,no,0,unknown,182,0,0
168,58,blue-collar,married,NA,NA,703,no,no,0,unknown,37,0,0
169,38,management,married,tertiary,cellular,0,yes,no,0,unknown,22,0,0
170,51,blue-collar,married,secondary,telephone,16,yes,yes,0,unknown,145,0,0
171,55,technician,married,secondary,NA,891,no,no,0,unknown,268,0,0
172,50,management,married,tertiary,NA,877,no,yes,0,unknown,181,0,0
173,29,unemployed,single,primary,cellular,1374,no,no,7,high,1205,115.07,0
174,51,blue-collar,married,primary,telephone,1203,yes,yes,7,low,25,0,0
175,46,entrepreneur,married,tertiary,cellular,9,no,no,0,unknown,126,0,0
176,31,technician,divorced,secondary,NA,-1185,yes,no,0,unknown,81,0,0
177,40,management,divorced,tertiary,NA,490,yes,no,0,unknown,477,0,0
178,29,blue-collar,married,secondary,NA,43,yes,no,0,unknown,268,0,0
179,44,management,married,secondary,cellular,1103,no,no,0,unknown,82,0,0
180,31,management,divorced,secondary,cellular,0,yes,no,0,unknown,216,0,0
181,30,management,single,tertiary,cellular,1572,no,no,0,unknown,200,0,0
182,46,technician,married,NA,cellular,304,no,no,0,unknown,202,0,0
183,30,blue-collar,single,secondary,cellular,1073,yes,no,0,unknown,1130,0,0
184,59,retired,divorced,secondary,cellular,514,yes,no,1,unknown,573,0,0
185,54,admin.,married,secondary,cellular,0,yes,yes,0,unknown,117,0,0
186,49,management,married,tertiary,cellular,2139,no,no,0,unknown,278,0,0
187,55,retired,married,secondary,cellular,168,no,no,0,unknown,79,0,0
188,43,management,married,tertiary,telephone,-271,yes,yes,0,unknown,121,0,0
189,32,technician,single,tertiary,cellular,696,no,yes,4,low,101,0,0
190,48,technician,married,secondary,NA,0,yes,yes,0,unknown,964,0,0
191,33,blue-collar,married,primary,cellular,3074,no,no,0,unknown,679,0,0
192,48,blue-collar,married,NA,cellular,113,no,no,0,unknown,104,0,0
193,24,student,single,secondary,NA,7,yes,no,0,unknown,86,0,0
194,36,technician,single,secondary,cellular,0,no,no,0,unknown,8,0,0
195,27,management,single,tertiary,cellular,88,no,no,0,unknown,143,0,0
196,45,management,single,secondary,cellular,451,yes,no,0,unknown,142,0,0
197,53,entrepreneur,married,secondary,cellular,0,yes,no,0,unknown,200,0,0
198,35,admin.,divorced,secondary,NA,869,yes,no,0,unknown,173,0,0
199,60,services,single,secondary,cellular,739,no,no,1,high,261,0,0
200,43,blue-collar,divorced,primary,cellular,515,yes,no,0,unknown,182,0,0
201,29,services,divorced,secondary,cellular,92,yes,no,0,unknown,240,0,0
202,45,admin.,married,secondary,cellular,0,yes,yes,0,unknown,368,0,0
203,69,management,married,secondary,cellular,4,no,no,0,unknown,114,0,0
204,38,management,married,tertiary,cellular,1444,yes,no,0,unknown,139,0,0
205,27,services,single,secondary,cellular,814,yes,no,0,unknown,62,0,0
206,58,management,divorced,tertiary,NA,1533,no,no,0,unknown,137,0,0
207,45,blue-collar,married,primary,NA,665,no,no,0,unknown,183,0,0
208,37,technician,divorced,secondary,NA,-230,yes,yes,0,unknown,224,0,0
209,40,management,married,tertiary,cellular,87,yes,yes,0,unknown,114,0,0
210,30,blue-collar,married,primary,NA,145,yes,no,0,unknown,299,0,0
211,23,entrepreneur,married,tertiary,cellular,489,no,yes,0,unknown,235,0,0
212,32,blue-collar,married,secondary,NA,544,no,no,0,unknown,69,0,0
213,59,retired,married,primary,NA,1085,no,no,0,unknown,191,0,0
214,41,management,married,tertiary,cellular,97,no,no,0,unknown,130,0,0
215,31,services,married,secondary,cellular,-163,yes,no,2,low,135,0,0
216,39,admin.,married,secondary,cellular,0,no,no,10,low,366,272.24,0
217,50,management,married,tertiary,cellular,37,no,no,0,unknown,869,0,0
218,52,blue-collar,married,primary,cellular,281,yes,no,3,unknown,55,0,0
219,37,services,married,secondary,NA,50,yes,no,0,unknown,352,0,0
220,52,technician,married,secondary,cellular,371,yes,yes,1,high,224,157.07,0
221,40,management,married,tertiary,cellular,-495,no,yes,0,unknown,303,0,0
222,30,technician,married,secondary,cellular,-287,yes,no,0,unknown,244,0,0
223,38,admin.,divorced,secondary,NA,-212,yes,no,0,unknown,78,0,0
224,39,management,married,secondary,NA,1410,yes,no,0,unknown,55,0,0
225,40,management,married,tertiary,NA,0,yes,no,0,unknown,138,0,0
226,43,blue-collar,married,primary,telephone,1579,yes,no,4,unknown,176,0,0
227,44,management,married,tertiary,cellular,0,yes,no,0,unknown,141,0,0
228,49,technician,married,secondary,cellular,133,no,no,0,unknown,81,0,0
229,61,retired,married,primary,cellular,197,no,no,0,unknown,113,42.53,0
230,32,management,single,tertiary,cellular,776,no,no,0,unknown,361,0,0
231,38,blue-collar,married,primary,NA,1602,no,no,0,unknown,100,0,0
232,31,blue-collar,married,secondary,NA,557,yes,yes,0,unknown,185,0,0
233,37,technician,married,tertiary,cellular,0,yes,no,0,unknown,484,0,0
234,34,management,married,primary,NA,6,yes,no,0,unknown,125,0,0
235,32,blue-collar,married,primary,cellular,77,yes,no,0,unknown,464,0,0
236,46,management,married,secondary,cellular,1114,no,no,0,unknown,87,0,0
237,71,NA,married,tertiary,cellular,353,no,no,2,low,208,0,0
238,35,admin.,single,secondary,cellular,203,yes,no,0,unknown,301,0,0
239,44,services,married,secondary,cellular,634,yes,no,0,unknown,226,0,0
240,46,technician,married,secondary,cellular,0,yes,no,0,unknown,96,0,0
241,39,technician,single,secondary,cellular,-237,yes,no,0,unknown,64,0,0
242,41,admin.,married,secondary,cellular,80,no,no,0,unknown,202,0,0
243,38,management,married,tertiary,cellular,93,yes,no,0,unknown,69,0,0
244,45,management,divorced,secondary,cellular,1144,yes,no,0,unknown,129,0,0
245,33,management,married,tertiary,cellular,862,yes,no,0,unknown,166,0,0
246,42,services,divorced,secondary,cellular,1043,yes,no,0,unknown,97,0,0
247,42,blue-collar,married,primary,cellular,258,yes,no,1,low,18,0,0
248,30,blue-collar,divorced,secondary,cellular,4591,yes,no,1,unknown,89,0,0
249,48,management,married,tertiary,cellular,666,yes,no,0,unknown,317,0,0
250,36,blue-collar,divorced,NA,NA,0,yes,no,0,unknown,377,0,0
251,56,admin.,married,secondary,NA,1504,yes,no,0,unknown,66,0,0
252,44,blue-collar,divorced,secondary,cellular,221,no,no,0,unknown,149,0,0
253,59,housemaid,divorced,primary,cellular,0,no,yes,0,unknown,1368,0,0
254,36,management,married,tertiary,NA,860,yes,no,0,unknown,294,0,0
255,49,blue-collar,married,primary,NA,953,yes,no,0,unknown,278,0,0
256,40,housemaid,married,secondary,cellular,541,yes,no,0,unknown,431,0,0
257,43,technician,married,secondary,NA,463,no,no,0,unknown,268,0,0
258,22,services,single,NA,NA,739,no,no,0,unknown,4,0,0
259,34,technician,single,secondary,cellular,105,yes,no,2,low,303,0,0
260,36,management,married,tertiary,cellular,532,yes,no,0,unknown,603,0,0
261,35,technician,divorced,secondary,NA,556,yes,no,0,unknown,214,0,0
262,42,management,married,tertiary,cellular,9009,no,no,0,unknown,135,0,0
263,35,blue-collar,single,NA,cellular,871,yes,no,3,low,117,0,0
264,33,housemaid,married,primary,cellular,0,no,no,0,unknown,237,0,0
265,42,admin.,married,secondary,NA,105,no,no,0,unknown,1159,294.41,0
266,33,blue-collar,married,secondary,telephone,7,yes,no,0,unknown,32,0,0
267,28,management,single,tertiary,telephone,95,no,no,0,unknown,283,0,0
268,43,management,single,tertiary,cellular,778,yes,no,0,unknown,230,0,0
269,29,admin.,divorced,secondary,NA,891,no,no,0,unknown,820,0,0
270,38,technician,married,secondary,cellular,4030,yes,no,5,low,75,0,0
271,39,blue-collar,married,primary,NA,519,yes,yes,0,unknown,117,0,0
272,36,self-employed,married,primary,cellular,1094,yes,no,1,low,291,0,0
273,51,blue-collar,married,primary,cellular,7134,no,no,0,unknown,36,0,0
274,30,services,divorced,secondary,cellular,0,yes,no,0,unknown,172,0,0
275,43,housemaid,married,secondary,NA,5233,no,no,0,unknown,108,0,0
276,57,technician,married,tertiary,cellular,3082,yes,yes,3,low,267,0,0
277,40,blue-collar,married,primary,cellular,592,yes,no,2,low,80,0,0
278,42,blue-collar,married,secondary,cellular,-430,yes,no,0,unknown,298,0,0
279,43,technician,married,primary,cellular,2586,yes,no,0,unknown,354,0,0
280,43,admin.,married,secondary,NA,372,yes,no,0,unknown,162,0,0
281,55,housemaid,married,primary,cellular,0,no,no,0,unknown,139,0,0
282,38,technician,single,tertiary,NA,-256,yes,no,0,unknown,116,0,0
283,22,technician,single,secondary,NA,28,yes,no,0,unknown,121,0,0
284,49,management,married,secondary,cellular,99,yes,no,1,low,687,292.48,0
285,34,blue-collar,married,secondary,cellular,745,yes,no,4,low,400,0,0
286,47,services,married,secondary,NA,0,no,yes,0,unknown,51,0,0
287,31,student,single,NA,telephone,7826,no,no,0,unknown,133,0,0
288,67,management,married,NA,cellular,65,no,no,0,unknown,320,0,0
289,34,management,married,tertiary,cellular,1288,yes,no,7,unknown,15,0,0
290,31,technician,married,secondary,NA,4941,yes,no,0,unknown,504,0,0
291,37,services,married,secondary,NA,718,no,yes,0,unknown,215,0,0
292,30,management,married,secondary,NA,678,yes,no,0,unknown,236,0,0
293,29,unemployed,single,tertiary,cellular,111,no,no,0,unknown,98,0,0
294,36,blue-collar,married,secondary,cellular,-231,no,yes,0,unknown,779,0,0
295,26,blue-collar,single,secondary,NA,-333,no,yes,0,unknown,692,0,0
296,37,technician,married,secondary,cellular,-143,yes,no,0,unknown,95,0,0
297,50,technician,divorced,secondary,cellular,3656,no,no,0,unknown,509,0,0
298,45,blue-collar,married,primary,cellular,2958,yes,no,2,low,580,0,0
299,25,technician,divorced,tertiary,cellular,2317,yes,no,0,unknown,273,0,0
300,35,services,married,secondary,cellular,2918,no,yes,3,high,815,400.95,0
301,33,management,married,tertiary,cellular,621,no,no,5,low,1435,0,0
302,29,services,single,secondary,cellular,153,no,no,0,unknown,734,0,0
303,47,blue-collar,divorced,secondary,cellular,-332,no,yes,0,unknown,48,0,0
304,53,management,married,tertiary,NA,913,yes,no,0,unknown,244,0,0
305,63,retired,married,secondary,cellular,588,no,no,0,unknown,143,0,0
306,48,blue-collar,married,secondary,cellular,709,yes,no,3,unknown,117,0,0
307,54,management,divorced,tertiary,telephone,0,yes,no,0,unknown,17,0,0
308,48,technician,married,tertiary,cellular,16,no,no,0,unknown,77,0,0
309,53,blue-collar,married,primary,NA,600,yes,no,0,unknown,139,0,0
310,27,technician,married,secondary,NA,594,yes,no,0,unknown,433,0,0
311,54,entrepreneur,divorced,tertiary,telephone,20527,no,no,0,unknown,66,0,0
312,37,blue-collar,married,secondary,NA,105,yes,no,0,unknown,69,0,0
313,47,blue-collar,married,secondary,telephone,33,no,no,0,unknown,27,0,0
314,52,management,divorced,tertiary,NA,50,yes,no,0,unknown,84,0,0
315,46,blue-collar,married,secondary,NA,494,yes,no,0,unknown,724,0,0
316,62,retired,married,primary,telephone,0,no,no,0,unknown,280,0,0
317,59,entrepreneur,married,primary,cellular,222,no,no,0,unknown,97,0,0
318,41,services,single,secondary,NA,260,no,no,0,unknown,75,0,0
319,75,retired,divorced,secondary,telephone,2199,no,no,0,unknown,137,0,0
320,32,management,single,tertiary,cellular,1134,no,no,0,unknown,85,0,0
321,36,technician,married,tertiary,cellular,4596,yes,no,2,high,234,1176.55,0
322,32,management,divorced,tertiary,cellular,883,yes,no,5,unknown,798,444.23,0
323,24,blue-collar,married,secondary,NA,0,no,no,0,unknown,94,0,0
324,39,technician,married,secondary,cellular,484,no,yes,3,unknown,61,0,0
325,30,technician,single,tertiary,cellular,69,no,no,0,unknown,300,0,0
326,52,admin.,married,secondary,NA,422,no,no,0,unknown,559,0,0
327,56,retired,divorced,secondary,cellular,1886,yes,no,0,unknown,682,0,0
328,42,management,single,tertiary,NA,1156,yes,no,0,unknown,62,0,0
329,54,management,divorced,tertiary,cellular,124,no,no,0,unknown,119,0,0
330,45,technician,married,secondary,NA,-237,yes,yes,0,unknown,71,0,0
331,65,retired,married,tertiary,cellular,1948,no,no,0,unknown,102,0,0
332,25,services,single,NA,cellular,342,no,no,0,unknown,281,0,0
333,55,management,divorced,secondary,cellular,1526,yes,no,0,unknown,105,0,0
334,49,technician,married,secondary,telephone,1091,no,no,0,unknown,47,0,0
335,43,blue-collar,married,secondary,cellular,953,yes,no,0,unknown,765,374.93,0
336,77,retired,married,tertiary,cellular,0,no,no,1,high,847,270.49,0
337,32,management,single,tertiary,NA,1169,yes,no,0,unknown,322,0,0
338,46,blue-collar,single,secondary,cellular,0,yes,no,0,unknown,120,0,0
339,31,services,single,secondary,NA,-32,yes,no,0,unknown,157,0,0
340,44,technician,married,secondary,cellular,1879,yes,no,0,unknown,88,0,0
341,49,services,married,secondary,telephone,1084,yes,no,0,unknown,99,0,0
342,46,blue-collar,married,primary,NA,0,yes,no,0,unknown,73,0,0
343,33,services,divorced,secondary,NA,392,yes,yes,0,unknown,254,0,0
344,33,technician,married,secondary,NA,603,yes,no,0,unknown,345,0,0
345,56,management,divorced,tertiary,cellular,3287,no,no,0,unknown,497,932.75,0
346,59,admin.,married,secondary,cellular,231,no,yes,0,unknown,59,0,0
347,49,technician,married,secondary,cellular,1811,yes,yes,1,unknown,168,0,0
348,26,technician,single,tertiary,cellular,777,yes,no,1,low,260,0,0
349,26,blue-collar,single,secondary,cellular,0,yes,no,2,low,148,0,0
350,50,retired,divorced,primary,cellular,2790,no,no,0,unknown,236,0,0
351,25,blue-collar,married,secondary,NA,192,yes,no,0,unknown,357,0,0
352,31,technician,single,tertiary,NA,1710,yes,no,0,unknown,385,0,0
353,31,management,married,tertiary,cellular,141,yes,no,7,unknown,572,296.48,0
354,35,blue-collar,married,NA,cellular,520,yes,no,0,unknown,476,352.26,0
355,41,blue-collar,single,secondary,NA,1080,yes,yes,0,unknown,192,0,0
356,29,technician,single,secondary,cellular,938,no,no,0,unknown,358,377.95,0
357,40,blue-collar,married,secondary,cellular,195,yes,no,5,unknown,99,0,0
358,52,blue-collar,single,secondary,NA,2430,yes,yes,0,unknown,185,0,0
359,30,services,single,tertiary,NA,542,yes,no,0,unknown,435,0,0
360,31,services,single,secondary,cellular,1192,yes,no,2,unknown,156,0,0
361,47,unemployed,married,secondary,cellular,926,no,no,5,high,436,86.19,0
362,40,technician,single,secondary,NA,360,yes,no,0,unknown,73,0,0
363,21,management,single,tertiary,cellular,243,no,yes,0,unknown,181,0,0
364,31,blue-collar,married,secondary,cellular,-204,yes,yes,0,unknown,429,0,0
365,59,housemaid,married,secondary,telephone,0,no,no,1,low,107,0,0
366,25,blue-collar,married,secondary,NA,53,yes,no,0,unknown,331,0,0
367,32,technician,single,secondary,cellular,432,no,no,0,unknown,559,0,0
368,61,admin.,divorced,secondary,cellular,4519,no,no,11,unknown,145,0,0
369,43,management,married,secondary,NA,452,yes,no,0,unknown,107,0,0
370,26,technician,single,secondary,NA,-516,yes,no,0,unknown,386,0,0
371,55,admin.,single,secondary,NA,533,no,no,0,unknown,40,0,0
372,53,blue-collar,married,NA,NA,1827,no,no,0,unknown,121,0,0
373,33,blue-collar,divorced,secondary,cellular,865,yes,no,0,unknown,158,0,0
374,36,management,single,secondary,cellular,532,yes,no,0,unknown,50,0,0
375,42,blue-collar,married,secondary,cellular,366,yes,no,1,low,324,285.84,0
376,47,admin.,married,secondary,cellular,70,yes,no,2,high,144,276.2,0
377,40,entrepreneur,divorced,tertiary,NA,224,no,no,0,unknown,606,0,0
